Nukkumisaika,h,h,keskiarvo
5 Huh,9.4,9:23 h,8.4
6 Huh,6.3,6:19 h,8.4
7 Huh,8.8,8:49 h,8.4
8 Huh,9.2,9:13 h,8.4
9 Huh,8,7:59 h,8.4
10 Huh,6.5,6:27 h,8.4
11 Huh,6,5:57 h,8.4
12 Huh,5.8,5:46 h,8.4
13 Huh,8.5,8:31 h,8.4
14 Huh,8.9,8:56 h,8.4
15 Huh,9.1,9:08 h,8.4
16 Huh,7.9,7:55 h,8.4
17 Huh,7.1,7:06 h,8.4
18 Huh,7.7,7:44 h,8.4
19 Huh,9.1,9:07 h,8.4
20 Huh,10.4,10:22 h,8.4
21 Huh,6.1,6:07 h,8.4
22 Huh,7.5,7:28 h,8.4
23 Huh,9,9:01 h,8.4
24 Huh,9,9:01 h,8.4
25 Huh,9.9,9:51 h,8.4
26 Huh,11.3,11:17 h,8.4
27 Huh,7.8,7:46 h,8.4
28 Huh,10.1,10:07 h,8.4
29 Huh,8.9,8:52 h,8.4
30 Huh,8.5,8:29 h,8.4
1 Tou,7.9,7:54 h,8.4
2 Tou,9.6,9:38 h,8.4
3 Tou,9.3,9:20 h,8.4
4 Tou,9.8,9:49 h,8.4
5 Tou,6.5,6:31 h,8.4